blockNumber,timestamp,size,difficulty,transactionCount,internalTxCntSimple,internalTxCntAdvanced,erc20TxCnt,erc721TxCnt,minerAddress,minerExtra,gasLimit,gasUsed,minGasPrice,maxGasPrice,avgGasPrice,txFee
11000000,1601957824,40011,3.364942e+15,173,48,502,168,6,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,0x505059452d657468706f6f6c2d757331,12451188,12444584,33100000000,280000000000,55120600531.31214,621501863366757631
11000001,1601957834,41852,3.364942e+15,213,50,550,158,0,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12463346,12461634,42900000000,6205000000000,212883659542.9953,1676861867209136542
11000002,1601957857,34285,3.363299e+15,167,41,542,164,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12475516,12469276,48400000000,500000000000,76192440831.32335,929449009467700036
11000003,1601957893,50812,3.358372e+15,199,59,400,169,2,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,0x73757065726e6f64652d6465,12487698,12485910,44000000000,358031608392,61407626845.47236,753274475821501696
11000004,1601957919,35357,3.356732e+15,176,35,706,158,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12499892,12491121,40700001604,155000000000,50054083344.982956,628488275497986226
11000005,1601957933,48515,3.356732e+15,177,44,584,152,8,0x06b8c5883ec71bc3f4b332081519f23834c8706e,0x4d696e696e672045787072657373204d,12487687,12482970,37000000000,93000000000,40543682424.62147,494879361856652239
11000006,1601957937,40450,3.358371e+15,155,44,495,144,6,0xb3b7874f13387d44a3398d298b075b7a3505d8d4,0x424142454c504f4f4c2f48454c4c4f5f455448,12499881,12490948,36000000000,262000000000,55898813339.825806,662669859245134176
11000007,1601957948,33507,3.358371e+15,124,58,613,147,4,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d77657374312d312d67657468,12487676,12478688,1000000000,70000000000,36073732743.241936,471865869306919903
11000008,1601957952,33208,3.360011e+15,152,35,467,147,19,0xe9b6961a5b16c140350d6fd87147f529965f52c9,0xd883010915846765746888676f312e31352e31856c696e7578,12475483,12457863,32000000000,400000000000,47133103955.8421,522621583594738569
11000009,1601957962,33057,3.360011e+15,142,43,431,156,1,0x1ca43b645886c98d7eb7d27ec16ea59f509cbe1a,0x4d696e65642042792056696142544320434432,12463301,12450663,36000000000,400000000000,58731571158.88028,704249886884270001
11000010,1601957976,49868,3.361652e+15,220,65,500,202,0,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,0x73757065726e6f64652d6465,12475471,12456738,52500002188,451830743377,77241842521.07272,906014163690617326
11000011,1601958024,35579,3.356727e+15,158,33,510,142,4,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12487653,12467518,39600000000,150000000000,50656253285.322784,631353342906402056
11000012,1601958037,36783,3.356727e+15,121,81,496,119,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12499846,12483867,39000000000,200000000000,51997035857.0,594276274156672119
11000013,1601958043,20560,3.358366e+15,73,24,463,132,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12505927,12487421,37000001459,700000000000,65024217990.49315,687231981757401724
11000014,1601958050,32018,3.360006e+15,154,29,733,167,3,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12512008,12494158,37000001459,370195207362,60792151969.93507,690576069584671005
11000015,1601958070,34038,3.358366e+15,174,18,523,154,4,0xb3b7874f13387d44a3398d298b075b7a3505d8d4,0x424142454c504f4f4c2f48454c4c4f5f455448,12518092,12508745,37000000000,170000000000,49695266959.206894,582561039744664610
11000016,1601958084,38692,3.360005e+15,190,49,548,149,1,0x8595dd9e0438640b5e1254f9df579ac12a86865f,0x657a696c2e6d65,12505869,12504548,1100000001,320000000000,66960197749.41579,815799150885969289
11000017,1601958124,43766,3.355083e+15,204,36,392,183,1,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d33,12493658,12480807,5000000000,200000000000,42942275040.42157,535451827285816825
11000018,1601958126,44031,3.356722e+15,278,37,374,122,0,0x99c85bb64564d9ef9a99621301f22c9993cb89e3,0x626565706f6f6c2e6f72675f36,12505857,12500155,38400000000,200000000000,57883509317.773384,714995280562054819
11000019,1601958149,34106,3.355083e+15,162,37,590,150,7,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12511956,12496063,37000000000,533160277184,61925652168.01852,643538141876464627
11000020,1601958160,38276,3.355083e+15,198,25,420,152,1,0x6ebaf477f83e055589c1188bcc6ddccd8c9b131a,0xd883010915846765746888676f312e31352e31856c696e7578,12499739,12480734,42900000000,300000000000,68246217912.13636,844187825178718022
11000021,1601958197,41672,3.350168e+15,173,28,351,185,3,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12505816,12491431,39000000000,120000000000,49610113309.3815,591113777747864725
11000022,1601958203,28472,3.35344e+15,128,34,585,155,3,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12511902,12254982,37000001459,67200000000,39667969525.09375,470517897549965843
11000023,1601958206,35782,3.355077e+15,139,33,664,148,5,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x73706964657231310308135e,12499685,12481965,36000001459,199000000000,51095638233.20144,556478335854821796
11000024,1601958225,37298,3.353439e+15,183,46,542,166,1,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d7573322d312d67657468,12487480,12481098,1000000000,181561972207,45577698174.989075,593476957206636992
11000025,1601958238,33779,3.353439e+15,121,31,505,108,8,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12499673,12487577,36000000000,250000000000,47663107238.099174,507286927733612398
11000026,1601958240,46538,3.355076e+15,152,74,566,166,14,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12505760,12488887,35000001459,200247217917,53631749991.04605,638651219943272094
11000027,1601958250,22146,3.355076e+15,81,26,764,277,2,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12511843,12505733,35000001459,72000000000,39957408400.765434,460898198607898675
11000028,1601958253,17191,3.356714e+15,88,156,446,90,6,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0009,12499626,12495840,32000000000,100000000000,39186493793.056816,453653337261182086
11000029,1601958254,9441,3.358354e+15,68,288,343,15,0,0x002e08000acbbae2155fab7ac01929564949070d,0x505059452f457468657265756d534f4c4f2f326d696e6572735f4555,12487421,12479806,1000000000,108274416846,19410094456.058823,409254496197838064
11000030,1601958256,40890,3.359993e+15,199,41,470,167,3,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12499614,12490455,42900000000,800000000000,69309950687.38191,806566910977362594
11000031,1601958291,41608,3.356712e+15,179,52,541,187,4,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,0x6574682d70726f2d686976652d3038,12500000,12487929,38000000000,500000000000,54609924963.614525,627098025589148162
11000032,1601958304,43026,3.356712e+15,179,37,492,137,2,0x84a0d77c693adabe0ebc48f88b3ffff010577051,0xd683010915846765746886676f312e3135856c696e7578,12487794,12482107,37000001459,900000000000,61873956264.86034,693738861220225364
11000033,1601958321,46657,3.358351e+15,242,40,496,191,4,0x64dc5acba24d6f6eff6781ac4fecec79c091ad02,0x3432312f00229ae0,12475600,12465367,39000000000,1197374789624,82676750942.16942,927877714420506387
11000034,1601958344,38497,3.356711e+15,167,33,313,138,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12487782,12472820,37000001459,200000000000,56379606696.532936,657886461362722206
11000035,1601958360,31171,3.356711e+15,100,44,593,143,5,0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,0x73696e6732,12475588,12458683,1000000000,130000000000,45647187263.25,559428959034935243
11000036,1601958367,31883,3.35835e+15,148,34,569,139,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12487770,12486922,37000001459,180000000000,54962050856.12162,609904565346443505
11000037,1601958385,43566,3.35671e+15,267,38,327,148,3,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d61736961312d33,12499964,12497556,1000000000,200000000000,38929499491.74157,579963741584389215
11000038,1601958393,43926,3.358349e+15,180,53,558,199,2,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0003,12487759,12474102,37000001459,733095380853,67664769612.672226,740339621410273372
11000039,1601958421,29148,3.35507e+15,155,32,450,117,4,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d332d67657468,12499953,12496095,1000000000,200000000000,36178431333.187096,510758666615640158
11000040,1601958433,38382,3.35507e+15,161,31,461,164,4,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d7573322d312d67657468,12487748,12473895,1000000000,221000000000,42036513715.397514,518953615165968566
11000041,1601958436,534,3.356708e+15,0,0,0,0,0,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12499942,0,None,None,None,0
11000042,1601958437,25491,3.358347e+15,121,25,335,115,11,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d61736961312d31,12500000,12491409,1000000000,199000000000,40028100132.140495,484601563394598821
11000043,1601958438,35460,3.359987e+15,175,33,594,149,4,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12506091,12505266,36000000000,120000000000,47109918252.148575,572259415245362952
11000044,1601958451,36611,3.359987e+15,164,30,414,170,12,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12512198,12505316,32000000000,180000000000,46810661921.597565,529007790477646112
11000045,1601958459,22576,3.361628e+15,115,38,303,100,3,0x6ebaf477f83e055589c1188bcc6ddccd8c9b131a,0xd883010915846765746888676f312e31352e31856c696e7578,12499981,12479114,32000001123,87000001459,46615688789.73044,520464682127699321
11000046,1601958473,38273,3.361628e+15,195,40,392,139,0,0x005e288d713a5fb3d7c9cf1b43810a98688c7223,0x707079652d786e706f6f6c2e636e2f5838,12487775,12471185,44400001750,22449000000000,640951557544.1282,4361987284785292632
