,Gas Value,Calldata Length,Ratio of Dataset,Type,Alpha Gamma Parameter,Beta Gamma Parameter,Mu Lognormal Parameter,Cov Lognormal Parameter,Additive Ratio
0,21000.0,0.0,0.2,Point,NaN,NaN,NaN,NaN,0.2
1,181476.0,392.0,0.053,Point,NaN,NaN,NaN,NaN,0.253
2,140088.0,392.0,0.033,Point,NaN,NaN,NaN,NaN,0.28600000000000003
3,,0.0,0.063428475,CDDistribution,0.45940058354235797,9.479867101759848e-06,NaN,NaN,0.349428475
4,,8.0,0.0179435808,CDDistribution,0.10592757149148878,1.7029517692853486e-07,NaN,NaN,0.36737205580000004
5,,72.0,0.0615923848,CDDistribution,0.7080508768269153,5.537438267222745e-06,NaN,NaN,0.42896444060000005
6,,136.0,0.2049741144,CDDistribution,0.3516652335066971,2.8542761377560697e-06,NaN,NaN,0.6339385550000001
7,,200.0,0.0382239989,CDDistribution,1.4637108982645082,1.5659694925306536e-05,NaN,NaN,0.6721625539
8,,392.0,0.0559172079,CDDistribution,3.6044484665724936,2.0224388513971145e-05,NaN,NaN,0.7280797618
9,,456.0,0.0269570996,CDDistribution,1.0386950020909556,2.6278514288603545e-06,NaN,NaN,0.7550368614
10,,520.0,0.0240360505,CDDistribution,1.3017224858264824,2.348127595532742e-06,NaN,NaN,0.7790729119
11,,840.0,0.0238691329,CDDistribution,1.5931102702550455,6.764990788834882e-06,NaN,NaN,0.8029420448000001
12,,1160.0,0.0176932024,CDDistribution,1.9187446884483832,5.328318165549417e-06,NaN,NaN,0.8206352472000001
13,,1800.0,0.0208646264,CDDistribution,5.431974458694659,2.8879765732398973e-05,NaN,NaN,0.8414998736000001
14,,,,Remaining,,,"[12.54612983716503, 6.971909764494853]","[[0.77929924 0.2621603 ]
 [0.2621603  1.25207326]]",1.0
