blockNumber,gas,gasPrice,maxFeePerGas,maxPriorityFeePerGas,input,nonce
15613977,21000,13794737641,,,0x,10
15613977,21000,13794737641,,,0x,44
15613977,21000,13794737641,,,0x,2940
15613977,292192,10875656588,3.20E+11,7000000000,0x5ae401dc000000000000000000000000000000000000000000000000000000006330f96b00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e4472b43f300000000000000000000000000000000000000000000000003782dace9d90000000000000000000000000000000000000000000000019d709ed5ca6de6bb97740000000000000000000000000000000000000000000000000000000000000080000000000000000000000000eded75ff50e706961c24bd03589590427fc991c90000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000009f38ced8086ab17d5a5ead56fd76f3a69f63e72000000000000000000000000000000000000000000000000000000000,42
15613977,202747,8175656588,8868632598,4300000000,0x008c0000000000000000000001ff00a1f9925c590e063f68950029001e000000000000000000000000000068c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000044e420950000ef92b1005b6879000083002137bca30000000000000000000000440301b30035009000958000945200634ea2cc1f0000000000000000000000003400000000000000000000000000000000000000000000000008b3b5b6f68aa39cfffffffffffffffffffffffffffffffffffffffffffffffffffffffffc3a1f90117439f6fdde9a09d28eb78759cd5c852a8653f0c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2a9059cbb00000000000000000000000001ff00a1f9925c590e063f68950029001e00000000000000000000000000000000000000000000000000000008b3b5b6f68aa39c00000000000000000000000000000000000000000000000000000000ae1c839827054b13b1b798b345b591a4d22e6562d47ea75a0000e0ca771e21bd00057f54a68c30d400000000000000000000000000000000000182475b8042c5915a13a6b92decf0117439f6fdde9a09d28eb78759cd5c852a8653f0,44229
15613977,21000,6447184373,6447184373,6447184373,0x,5
15613977,21000,6000000000,,,0x,32
15613977,21000,6000000000,,,0x,14
15613977,21000,6000000000,,,0x,2
15613977,147788,5875656588,6000000000,2000000000,0x7ff36ab50000000000000000000000000000000000000000000000092819a6d54183d7130000000000000000000000000000000000000000000000000000000000000080000000000000000000000000564440da2d94de97eef7f011ecadf94361975b14000000000000000000000000000000000000000000000000000000006330f7070000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000009813037ee2218799597d83d4a5b6f3b6778218d9,40
