,Gas Value,Calldata Length,Ratio of Dataset,Type,Alpha Gamma Parameter,Beta Gamma Parameter,Mu Lognormal Parameter,Cov Lognormal Parameter
0,21000.0,0.0,0.266,Point,NaN,NaN,NaN,NaN
1,250000.0,0.0,0.023,Point,NaN,NaN,NaN,NaN
2,250000.0,136.0,0.03,Point,NaN,NaN,NaN,NaN
3,207128.0,0.0,0.022,Point,NaN,NaN,NaN,NaN
4,,0.0,0.0640678061,CDDistribution,0.42588040125470844,6.641021650002427e-06,NaN,NaN
5,,8.0,0.0241698804,CDDistribution,0.28114604037582713,1.1629603695065791e-06,NaN,NaN
6,,72.0,0.0550760464,CDDistribution,0.23824276827349875,1.0732371833121046e-06,NaN,NaN
7,,136.0,0.2315685855,CDDistribution,0.3769836532733997,2.6410757755799693e-06,NaN,NaN
8,,200.0,0.0390988296,CDDistribution,0.7336433558541271,6.169365695212433e-06,NaN,NaN
9,,456.0,0.0162006034,CDDistribution,1.6692664965207726,5.000058309390093e-06,NaN,NaN
10,,520.0,0.0164540701,CDDistribution,0.45775119186089813,1.380672037470569e-06,NaN,NaN
11,,840.0,0.0215019865,CDDistribution,2.0199852452944604,8.082112677957967e-06,NaN,NaN
12,,4808.0,0.0269881069,CDDistribution,0.9701230072797936,3.513899668182694e-06,NaN,NaN
13,,5832.0,0.0257894998,CDDistribution,21.08300777522894,7.468404398031954e-05,NaN,NaN
14,,,,Remaining,,,"[12.338084799451938, 7.007273532620562]","[[0.64162943 0.15907817]
 [0.15907817 0.88078228]]"
